abandon v.   AAA/ə'bændən /   BBB bỏ, từ bỏ
tightly adv.   AAA/'taitli /   BBB chặc chẽ, sít sao
time n.   AAA/taim /   BBB thời gian, thì giờ 
timetable n.   AAA/´taimteibl /   BBB kế hoạch làm việc, thời gian biểu
tin n.   AAA/tɪn /   BBB thiếc
tiny adj.   AAA/'taini /   BBB rất nhỏ, nhỏ xíu
tip n., v.   AAA/tip /   BBB đầu, mút, đỉnh, chóp; bịt đầu, lắp đầu vào
tire v. , n.  (bre tyre   AAA/'taiз/) /´taiə /   BBB làm mệt mỏi, trở nên mệt nhọc; lốp, vỏ xe
tiring adj.   AAA/´taiəriη /   BBB sự mệt mỏi, sự mệt nhọc
tired adj.   AAA/'taɪəd /   BBB mệt, muốn ngủ, nhàm chán
title n.   AAA/ˈtaɪtl /   BBB đầu đề, tiêu đề; tước vị, tư cách
to prep., infinitive marker   AAA/tu:, tu, tз /   BBB theo hướng, tới
today adv., n.   AAA/tə'dei /   BBB vào ngày này; hôm nay, ngày nay
toe n.   AAA/tou /   BBB ngón chân 
together adv.   AAA/tə'geðə /   BBB cùng nhau, cùng với
toilet n.   AAA/´tɔilit /   BBB nhà vệ sinh; sự trang điểm 
tomato n.   AAA/tə´ma:tou /   BBB cà chua
tomorrow adv., n.   AAA/tə'mɔrou /   BBB vào ngày mai; ngày mai
ton n.   AAA/tΔn /   BBB tấn
tone n.   AAA/toun /   BBB tiếng, giọng
tongue n.   AAA/tʌη /   BBB lưỡi
tonight adv., n.   AAA/tə´nait /   BBB vào đêm nay, vào tối nay; đêm nay, tối nay
tonne n.   AAA/tʌn /   BBB tấn
too adv.   AAA/tu: /   BBB cũng
tool n.   AAA/tu:l /   BBB dụng cụ, đồ dùng
tooth n.   AAA/tu:θ /   BBB răng
top n., adj.   AAA/tɒp /   BBB chóp, đỉnh; đứng đầu, trên hết
topic n.   AAA/ˈtɒpɪk /   BBB đề tài, chủ đề
total adj., n.   AAA/'toutl /   BBB tổng cộng, toàn bộ; tổng số, toàn bộ số lượng
totally adv.   AAA/toutli /   BBB hoàn toàn
touch v., n.   AAA/tʌtʃ /   BBB sờ, mó, tiếp xúc; sự sờ, sự mó, sự tiếp xúc
tour n., v.   AAA/tuə /   BBB cuộc đo du lịch, cuộc đi dạo, chuyến du lịch; đi du lịch
tourist n.   AAA/'tuərist /   BBB khách du lịch
towards prep.   AAA/tə´wɔ:dz /   BBB theo hướng, về hướng
towel n.   AAA/taʊəl /   BBB khăn tắm, khăn lau
tower n.   AAA/'tauə /   BBB tháp
town n.   AAA/taun /   BBB thị trấn, thị xã, thành phố nhỏ
toy n., adj.   AAA/tɔi /   BBB đồ chơi, đồ trang trí; thể loại đồ chơi
trace v., n.   AAA/treis /   BBB phát hiện, tìm thấy, vạch, chỉ ra, phác họa; dấu, vết, một chút
track n.   AAA/træk /   BBB phần của đĩa; đường mòn, đường đua
trade n., v.   AAA/treid /   BBB thương mại, buôn bán; buôn bán, trao đổi
trading n.   AAA/treidiη /   BBB sự kinh doanh, việc mua bán
tradition n.   AAA/trə´diʃən /   BBB truyền thống
traditional adj.   AAA/trə´diʃənəl /   BBB theo truyền thống, theo lối cổ
traditionally adv.   AAA/trə´diʃənəlli /   BBB truyền thống, là truyền thống
traffic n.   AAA/'træfik /   BBB sự đi lại, sự giao thông, sự chuyển động
train n., v.   AAA/trein /   BBB xe lửa, tàu hỏa; dạy, rèn luyện, đào tạo
training n.   AAA/'trainiŋ /   BBB sự dạy dỗ, sự huấn luyện, sự đào tạo
transfer v., n.   AAA/'trænsfə: /   BBB dời, di chuyển; sự di chuyển, sự dời chỗ
transform v.   AAA/træns'fɔ:m /   BBB thay đổi, biến đổi
translate v.   AAA/træns´leit /   BBB dịch, biên dịch, phiên dịch
translation n.   AAA/træns'leiʃn /   BBB sự dịch
transparent adj.   AAA/træns´pærənt /   BBB trong suốt; dễ hiểu, sáng sủa
transport n.    AAA/'trænspɔ:t /   BBB sự vận chuyển, sự vận tải; phương tiện đi lại
trap n., v.   AAA/træp /   BBB đồ đạc, hành lý; bẫy, cạm bãy; bẫy, giữ, chặn lại
travel v., n.   AAA/'trævl /   BBB đi lại, đi du lịch, di chuyển; sự đi, những chuyến đi
traveller  n.   AAA/'trævlə /   BBB người đi, lữ khách
treat v.   AAA/tri:t /   BBB đối xử, đối đãi, cư xử
treatment n.   AAA/'tri:tmənt /   BBB sự đối xử, sự cư xử
tree n.   AAA/tri: /   BBB cây
trend n.   AAA/trend /   BBB phương hướng, xu hướng, chiều hướng
trial n.   AAA/'traiəl /   BBB sự thử nghiệm, cuộc thử nghiệm
triangle n.   AAA/´trai¸æηgl /   BBB hình tam giác
trick n., v.   AAA/trik /   BBB mưu mẹo, thủ đoạn, trò lừa gatj; lừa, lừa gạt
trip n., v.   AAA/trip /   BBB cuộc dạo chơi, cuộc du ngoạn; đi dạo, du ngoạn
tropical adj.   AAA/´trɔpikəl /   BBB nhiệt đới
trouble n.   AAA/'trʌbl /   BBB điều lo lắng, điều muộn phiền
trousers n.   AAA/´trauzə:z /   BBB quần
truck n.   AAA/trʌk /   BBB rau quả tươi
true adj.   AAA/tru: /   BBB đúng, thật
truly adv.   AAA/'tru:li /   BBB đúng sự thật, đích thực, thực sự
trust n., v.   AAA/trʌst /   BBB niềm tin, sự phó thác; tin, tin cậy, phó thác
truth n.   AAA/tru:θ /   BBB sự thật
try v.   AAA/trai /   BBB thử, cố gắng
tube n.   AAA/tju:b /   BBB ống, tuýp
tuesday n.   AAA/´tju:zdi /   BBB thứ 3
tune n., v.   AAA/tun , tyun /   BBB điệu, giai điệu; lên dây, so dây 
tunnel n.   AAA/'tʌnl /   BBB đường hầm, hang
turn v., n.   AAA/tə:n /   BBB quay, xoay, vặn; sự quay, vòng quay
twice adv.   AAA/twaɪs /   BBB hai lần
twin n., adj.   AAA/twɪn /   BBB sinh đôi, tạo thành cặp; cặp song sinh
twist v., n.   AAA/twist /   BBB xoắn, cuộn, quắn; sự xoắn, vòng xoắn
twisted adj.   AAA/twistid /   BBB được xoắn, được cuộn
type n., v.   AAA/taip /   BBB loại, kiểu, mẫu; phân loại, xếp loại
typical adj.   AAA/´tipikəl /   BBB tiêu biểu, điển hình, đặc trưng
typically adv.   AAA/´tipikəlli /   BBB điển hình, tiêu biểu
tyre n.    AAA/'taiз /   BBB lốp, vỏ xe
ugly adj.   AAA/'ʌgli /   BBB xấu xí, xấu xa
ultimate adj.   AAA/ˈʌltəmɪt /   BBB cuối cùng, sau cùng
ultimately adv.   AAA/´ʌltimətli /   BBB cuối cùng, sau cùng
umbrella n.   AAA/ʌm'brelə /   BBB ô, dù
uncle n.   AAA/ʌηkl /   BBB chú, bác
under prep., adv.   AAA/'ʌndə /   BBB dưới, ở dưới; ở phía dưới, về phía dưới
underground adj., adv.   AAA/'ʌndəgraund /   BBB dưới mặt đất, ngầm dưới đất; ngầm
underneath prep., adv.   AAA/¸ʌndə´ni:θ /   BBB dưới, bên dưới
understand v.   AAA/ʌndə'stænd /   BBB hiểu, nhận thức
understanding n.   AAA/ˌʌndərˈstændɪŋ /   BBB trí tuệ, sự hiểu biết
underwater adj., adv.   AAA/´ʌndə¸wɔtə /   BBB ở dưới mặt nước, dưới mặt nước
underwear n.   AAA/'ʌndəweə /   BBB quần lót
unfortunate adj.   AAA/Λnfo:'t∫әneit /   BBB không may, rủi ro, bất hạnh
unfortunately adv.   AAA/ʌn´fɔ:tʃənətli /   BBB một cách đáng tiếc, một cách không may
uniform n., adj.   AAA/ˈjunəˌfɔrm /   BBB đồng phục; đều, giống nhau, đồng dạng
union n.   AAA/'ju:njən /   BBB liên hiệp, sự đoàn kết, sự hiệp nhất
unique adj.   AAA/ju:´ni:k /   BBB độc nhất vô nhị
unit n.   AAA/'ju:nit /   BBB đơn vị
unite v.   AAA/ju:´nait /   BBB liên kết, hợp nhất, hợp lại, kết thân
united adj.   AAA/ju:'naitid /   BBB liên minh, đoàn kết, chung, thống nhất
universe n.   AAA/'ju:nivə:s /   BBB vũ trụ
university n.   AAA/¸ju:ni´və:siti /   BBB trường đại học
unless conj.   AAA/ʌn´les /   BBB trừ phi, trừ khi, nếu không
until conj., prep.   AAA/ʌn´til /   BBB trước khi, cho đến khi
up adv., prep.   AAA/Λp /   BBB ở trên, lên trên, lên
upon prep.   AAA/ə´pɔn /   BBB trên, ở trên
upper adj.   AAA/´ʌpə /   BBB cao hơn
upset v., adj.   AAA/ʌpˈsɛt /   BBB làm đổ, đánh đổ
upsetting adj.   AAA/ʌp´setiη /   BBB tính đánh đổ, làm đổ
upside down adv.   AAA/´ʌp¸said /   BBB lộn ngược
upstairs adv., adj., n.   AAA/´ʌp´stɛəz /   BBB ở tên gác, cư ngụ ở tầng gác; tầng trên, gác
upward adj.   AAA/'ʌpwəd /   BBB lên, hướng lên, đi lên
urban adj.   AAA/ˈɜrbən /   BBB thành phố, khu vực
urge v., n.   AAA/ə:dʒ /   BBB thúc, giục, giục giã; sự thúc đẩy, sự thôi thúc
urgent adj.   AAA/ˈɜrdʒənt /   BBB gấp, khẩn cấp
us pron.   AAA/ʌs /   BBB chúng tôi, chúng ta; tôi và anh
use v., n.   AAA/ju:s /   BBB sử dụng, dùng; sự dùng, sự sử dụng
used adj.   AAA/ju:st /   BBB đã dùng, đã sử dụng
useful adj.   AAA/´ju:sful /   BBB hữu ích, giúp ích
useless adj.   AAA/'ju:slis /   BBB vô ích, vô dụng
user n.   AAA/´ju:zə /   BBB người dùng, người sử dụng
usual adj.   AAA/'ju:ʒl /   BBB thông thường, thường dùng
usually adv.   AAA/'ju:ʒәli /   BBB thường thường
unusual adj.   AAA/ʌn´ju:ʒuəl /   BBB hiếm, khác thường, đáng chú ý
unusually adv.   AAA/ʌn´ju:ʒuəlli /   BBB cực kỳ, khác thường 
vacation n.   AAA/və'kei∫n /   BBB kỳ nghỉ hè, kỳ nghỉ lễ; ngày nghỉ, ngày lễ
valid adj.   AAA/'vælɪd /   BBB chắc chắn, hiệu quả, hợp lý
valley n.   AAA/'væli /   BBB thung lũng
valuable adj.   AAA/'væljuəbl /   BBB có giá trị lớn, đáng giá
value n., v.   AAA/'vælju: /   BBB giá trị, ước tính, định giá
van n.   AAA/væn /   BBB tiền đội, quân tiên phong; xe tải
variation n.   AAA/¸veəri´eiʃən /   BBB sự biến đổi, sự thay đổi mức độ, sự khác nhau
variety n.   AAA/və'raiəti /   BBB sự đa dạng, trạng thái khác nhau
various adj.   AAA/veri.əs /   BBB khác nhau, thuộc về nhiều loại
vary v.   AAA/'veəri /   BBB thay đổi, làm cho khác nhau, biến đổi
varied adj.   AAA/'veərid /   BBB thuộc nhiều loại khác nhau, những vẻ đa dạng
vast adj.   AAA/vɑ:st /   BBB rộng lớn, mênh mông
vegetable n.   AAA/ˈvɛdʒtəbəl , ˈvɛdʒɪtəbəl /   BBB rau, thực vật
vehicle n.   AAA/'vi:hikl /   BBB xe cộ
venture n., v.   AAA/'ventʃə /   BBB sự án kinh doanh, công việc kinh doanh; liều, mạo hiểm, cả gan
version n.   AAA/'və:∫n /   BBB bản dịch sang một ngôn ngữ khác
vertical adj.   AAA/ˈvɜrtɪkəl /   BBB thẳng đứng, đứng
very adv.   AAA/'veri /   BBB rất, lắm
via prep.   AAA/'vaiə /   BBB qua, theo đường
victim n.   AAA/'viktim /   BBB nạn nhân
victory n.   AAA/'viktəri /   BBB chiến thắng
video n.   AAA/'vidiou /   BBB video
view n., v.   AAA/vju: /   BBB sự nhìn, tầm nhìn; nhìn thấy, xem, quan sát
village n.   AAA/ˈvɪlɪdʒ /   BBB làng, xã
violence n.   AAA/ˈvaɪələns /   BBB sự ác liệt, sự dữ dội; bạo lực
violent adj.   AAA/'vaiələnt /   BBB mãnh liệt, mạnh mẽ, hung dữ
violently adv.   AAA/'vaiзlзntli /   BBB mãnh liệt, dữ dội
virtually adv.   AAA/'və:tjuəli /   BBB thực sự, hầu như, gần như
virus n.   AAA/'vaiərəs /   BBB vi rút
visible adj.   AAA/'vizəbl /   BBB hữu hình, thấy được
vision n.   AAA/'viʒn /   BBB sự nhìn, thị lực
visit v., n.   AAA/vizun /   BBB đi thăm hỏi, đến chơi, tham quan; sự đi thăm, sự thăm viếng
visitor n.   AAA/'vizitə /   BBB khách, du khách
vital adj.   AAA/'vaitl /   BBB sự sống, cần cho sự sống
vocabulary n.   AAA/və´kæbjuləri /   BBB từ vựng
voice n.   AAA/vɔis /   BBB tiếng, giọng nói
volume n.   AAA/´vɔlju:m /   BBB thế tích, quyển, tập
vote n., v.   AAA/voʊt /   BBB sự bỏ phiếu, sự bầu cử; bỏ phiếu, bầu cử
wage n.   AAA/weiʤ /   BBB tiền lương, tiền công
waist n.   AAA/weist /   BBB eo, chỗ thắt lưng
wait v.   AAA/weit /   BBB chờ đợi
waiter, waitress n.   AAA/'weitə /   BBB người hầu bàn, người đợi, người trông chờ
wake v.   AAA/weik /   BBB thức dậy, tỉnh thức
walk v., n.   AAA/wɔ:k /   BBB đi, đi bộ; sự đi bộ, sự đi dạo
walking n.   AAA/'wɔ:kiɳ /   BBB sự đi, sự đi bộ
wall n.   AAA/wɔ:l /   BBB tường, vách
wallet n.   AAA/'wolit /   BBB cái ví
wander v., n.   AAA/'wɔndə /   BBB đi lang thang; sự đi lang thang
want v.   AAA/wɔnt /   BBB muốn
war n.   AAA/wɔ: /   BBB chiến tranh
warm adj., v.   AAA/wɔ:m /   BBB ấm, ấm áp; làm cho nóng, hâm nóng
warmth n.   AAA/wɔ:mθ /   BBB trạng thái ấm, sự ấm áp; hơi ấm
warn v.   AAA/wɔ:n /   BBB báo cho biết, cảnh báo
warning n.   AAA/'wɔ:niɳ /   BBB sự báo trước, lời cảnh báo
wash v.   AAA/wɒʃ , wɔʃ /   BBB rửa, giặt
washing n.   AAA/'wɔʃiɳ /   BBB sự tắm rửa, sự giặt
waste v., n., adj.   AAA/weɪst /   BBB lãng phí, uổng phí; vùng hoang vu, sa mạc; bỏ hoang
watch v., n.   AAA/wɔtʃ /   BBB nhìn, theo dõi, quan sát; sự canh gác, sự canh phòng
water n.   AAA/'wɔ:tə /   BBB nước
wave n., v.   AAA/weɪv /   BBB sóng, gợn nước; gợn sóng, uốn thành sóng
way n.   AAA/wei /   BBB đường, đường đi
we pron.   AAA/wi: /   BBB chúng tôi, chúng ta
weak adj.   AAA/wi:k /   BBB yếu, yếu ớt
weakness n.   AAA/´wi:knis /   BBB tình trạng yếu đuối, yếu ớt
wealth n.   AAA/welθ /   BBB sự giàu có, sự giàu sang
weapon n.   AAA/'wepən /   BBB vũ khí
wear v.   AAA/weə /   BBB mặc, mang, đeo
weather n.   AAA/'weθə /   BBB thời tiết
web n.   AAA/wɛb /   BBB mạng, lưới
wedding n.   AAA/ˈwɛdɪŋ /   BBB lễ cưới, hôn lễ
wednesday n.   AAA/´wensdei /   BBB thứ 4
week n.   AAA/wi:k /   BBB tuần, tuần lễ
weekend n.   AAA/¸wi:k´end /   BBB cuối tuần
weekly adj.   AAA/´wi:kli /   BBB mỗi tuần một lần, hàng tuần
weigh v.   AAA/wei /   BBB cân, cân nặng
weight n.   AAA/'weit /   BBB trọng lượng
welcome v., adj., n., exclamation   AAA/'welkʌm /   BBB chào mừng, hoan nghênh
well adv., adj., exclamation   AAA/wel /   BBB tốt, giỏi; ôi, may quá!
west n., adj., adv.   AAA/west /   BBB phía tây, theo phía tây, về hướng tây
western adj.   AAA/'westn /   BBB về phía tây, của phía tây
wet adj.   AAA/wɛt /   BBB ướt, ẩm ướt
what pron., det.   AAA/wʌt /   BBB gì, thế nào
whatever det., pron.   AAA/wɔt´evə /   BBB bất cứ thứ gì, bất kể thứ gì
wheel n.   AAA/wil /   BBB bánh xe
when adv., pron., conj.   AAA/wen /   BBB khi, lúc, vào lúc nào
whenever conj.   AAA/wen'evə /   BBB bất cứ lúc nào, lúc nào
where adv., conj.   AAA/weər /   BBB đâu, ở đâu; nơi mà
whereas conj.   AAA/weə'ræz /   BBB nhưng ngược lại, trong khi
wherever conj.    AAA/   BBB weər'evə  / BBB ở bất cứ nơi nào, ở bất cứ nơi đâu
whether conj.   AAA/´weðə /   BBB có..không; có... chăng; không biết có.. không
which pron., det.   AAA/witʃ /   BBB nào, bất cứ.. nào; ấy, đó
while conj., n.   AAA/wail /   BBB trong lúc, trong khi; lúc, chốc, lát
whilst conj.   AAA/wailst /   BBB trong lúc, trong khi
whisper v., n.   AAA/´wispə /   BBB nói thì thầm, xì xào; tiếng nói thì thầm, tiếng xì xào
whistle n., v.   AAA/wisl /   BBB sự huýt sáo, sự thổi còi; huýt sáo, thổi còi
white adj., n.   AAA/wai:t /   BBB trắng; màu trắng
who pron.   AAA/hu: /   BBB ai, người nào, kẻ nào, người như thế nào
whoever pron.   AAA/hu:'ev  /   BBB ai, người nào, bất cứ ai, bất cứ người nào, dù ai
whole adj., n.   AAA/həʊl /   BBB bình an vô sự, không suy suyển, không hư hỏng; toàn bộ, tất cả, toàn thể
whom pron.   AAA/hu:m /   BBB ai, người nào; người mà
whose det., pron.   AAA/hu:z /   BBB của ai
why adv.   AAA/wai /   BBB tại sao, vì sao
wide adj.   AAA/waid /   BBB rộng, rộng lớn
widely adv.   AAA/´waidli /   BBB nhiều, xa; rộng rãi
width n.   AAA/wɪdθ; wɪtθ /   BBB tính chất rộng, bề rộng
wife n.   AAA/waif /   BBB vợ
wild adj.   AAA/waɪld /   BBB dại, hoang
wildly adv.   AAA/waɪldli /   BBB dại, hoang
will modal v., n.   AAA/wil /   BBB sẽ; ý chí, ý định
willing adj.   AAA/´wiliη /   BBB bằng lòng, vui lòng, muốn
willingly adv.   AAA/'wiliηli /   BBB sẵn lòng, tự nguyện
unwilling adj.   AAA/ʌn´wiliη /   BBB không sẵn lòng, miễn cưỡng
unwillingly adv.   AAA/ʌn´wiliηgli /   BBB không sẵn lòng, miễn cưỡng
willingness n.   AAA/´wiliηnis /   BBB sự bằng lòng, sự vui lòng
win v.   AAA/win /   BBB chiếm, đọat, thu được
winning adj.   AAA/´winiη /   BBB đang dành thắng lợi, thắng cuộc
wind v.   AAA/wind /   BBB quấn lại, cuộn lại
wind n.   AAA/wind /   BBB gió
window n.   AAA/'windəʊ /   BBB cửa sổ
wine n.   AAA/wain /   BBB rượu, đồ uống
wing n.   AAA/wiη /   BBB cánh, sự bay, sự cất cánh
winner n.   AAA/winər /   BBB người thắng cuộc
winter n.   AAA/ˈwɪntər /   BBB mùa đông
wire n.   AAA/waiə /   BBB dây 
wise adj.   AAA/waiz /   BBB khôn ngoan, sáng suốt, thông thái
wish v., n.   AAA/wi∫ /   BBB ước, mong muốn; sự mong ước, lòng mong muốn
with prep.   AAA/wið /   BBB với, cùng 
withdraw v.   AAA/wɪðˈdrɔ , wɪθˈdrɔ /   BBB rút, rút khỏi, rút lui
within prep.   AAA/wið´in /   BBB trong vong thời gian, trong khoảng thời gian
without prep.   AAA/wɪðˈaʊt , wɪθaʊt /   BBB không, không có
witness n., v.   AAA/'witnis /   BBB sự làm chứng, bằng chứng; chứng kiến, làm chứng
woman n.   AAA/'wʊmən /   BBB đàn bà, phụ nữ
wonder v.   AAA/'wʌndə /   BBB ngạc nhiên, lấy làm lạ, kinh ngạc
wonderful adj.   AAA/´wʌndəful /   BBB phi thường, khác thường, kỳ diệu, tuyệt vời
wood n.   AAA/wud /   BBB gỗ
wooden adj.   AAA/´wudən /   BBB làm bằng gỗ
wool n.   AAA/wul /   BBB len
word n.   AAA/wə:d /   BBB từ
work v., n.   AAA/wɜ:k /   BBB làm việc, sự làm việc
working adj.   AAA/´wə:kiη /   BBB sự làm, sự làm việc
worker n.   AAA/'wə:kə /   BBB người lao động
world n.   AAA/wɜ:ld /   BBB thế giới
worry v., n.   AAA/'wʌri /   BBB lo lắng, suy nghĩ; sự lo lắng, suy nghĩ
worrying adj.   AAA/´wʌriiη /   BBB gấy lo lắng, gây lo nghĩ
worried adj.   AAA/´wʌrid /   BBB bồn chồn, lo nghĩ, tỏ ra lo lắng
worship n., v.   AAA/ˈwɜrʃɪp /   BBB sự tôn thờ, sự tôn sùng; thờ, thờ phụng, tôn thờ
worth adj.   AAA/wɜrθ /   BBB đáng giá, có giá trị
wound n., v.   AAA/waund /   BBB vết thương, thương tích; làm bị thường, gây thương tích
wounded adj.   AAA/'wu:ndid /   BBB bị thương
wrap v.   AAA/ræp /   BBB gói, bọc, quấn
wrapping n.   AAA/'ræpiɳ /   BBB vật bao bọc, vật quấn quanh
wrist n.   AAA/rist /   BBB cổ tay
write v.   AAA/rait /   BBB viết
writing n.   AAA/´raitiη /   BBB sự viết
written adj.   AAA/'ritn /   BBB viết ra, được thảo ra
writer n.   AAA/'raitə /   BBB người viết
wrong adj., adv.   AAA/rɔɳ /   BBB sai
wrongly adv.   AAA/´rɔηgli /   BBB một cách bất công, không đúng
yard n.   AAA/ja:d /   BBB lat, thước anh 
yawn v., n.   AAA/jɔ:n /   BBB há miệng; cử chỉ ngáp
year n.   AAA/jə: /   BBB năm
yellow adj., n.   AAA/'jelou /   BBB vàng; màu vàng
yes exclamation, n.   AAA/jes /   BBB vâng, phải, có chứ
